,lookback_window,minimum_occurrence,minimum_length,alpha,size,strategy,win_rate,sharpe,mdd
89,20,10,5,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
90,20,10,5,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
91,20,10,5,0.1,continuous,Strategy,0.5049261083743842,-0.12150158469048009,0.7071748435083207
92,20,10,5,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
93,20,10,5,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
94,20,10,5,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
95,20,10,5,0.1,trinary,Strategy,0.19458128078817735,-0.1662683189142123,0.8264996512052348
96,20,10,5,0.2,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
97,20,10,5,0.2,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
98,20,10,5,0.2,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
99,20,10,5,0.2,binary,Strategy,0.4729064039408867,-0.941316647618483,0.9954653174923621
100,20,10,5,0.2,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
101,20,10,5,0.2,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
102,20,10,5,0.2,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
103,20,10,5,0.2,continuous,Strategy,0.4729064039408867,-0.7362128127761072,0.6674717213033611
104,20,10,5,0.2,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
105,20,10,5,0.2,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
106,20,10,5,0.2,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
107,20,10,5,0.2,trinary,Strategy,0.13054187192118227,-0.8664948621841083,0.8683294340887977
108,20,50,1,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
109,20,50,1,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
110,20,50,1,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
111,20,50,1,0.05,binary,Strategy,0.46551724137931033,-0.5494169873358885,0.9875787848636578
112,20,50,1,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
113,20,50,1,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
114,20,50,1,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
115,20,50,1,0.05,continuous,Strategy,0.46551724137931033,-0.636827288113337,0.5083462336198953
116,20,50,1,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
117,20,50,1,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
118,20,50,1,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
119,20,50,1,0.05,trinary,Strategy,0.06157635467980296,-0.8426163752857811,0.5582075099417987
120,20,50,1,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
121,20,50,1,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
122,20,50,1,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
123,20,50,1,0.1,binary,Strategy,0.45073891625615764,-0.12676314987027834,0.9838425904959988
124,20,50,1,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
125,20,50,1,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
126,20,50,1,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
127,20,50,1,0.1,continuous,Strategy,0.45073891625615764,-1.060744612608282,0.591150187104521
128,20,50,1,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
129,20,50,1,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
130,20,50,1,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
131,20,50,1,0.1,trinary,Strategy,0.0665024630541872,-0.4986572172953973,0.7171505600969879
132,20,50,1,0.2,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
133,20,50,1,0.2,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
134,20,50,1,0.2,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
135,20,50,1,0.2,binary,Strategy,0.47783251231527096,0.16177312753801754,0.9535903062906249
136,20,50,1,0.2,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
137,20,50,1,0.2,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
138,20,50,1,0.2,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
139,20,50,1,0.2,continuous,Strategy,0.4729064039408867,-0.27614901815164783,0.456491189361912
140,20,50,1,0.2,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
141,20,50,1,0.2,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
142,20,50,1,0.2,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
143,20,50,1,0.2,trinary,Strategy,0.08374384236453201,-0.34440375039615445,0.5949192421687561
144,20,50,3,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
145,20,50,3,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
146,20,50,3,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
147,20,50,3,0.05,binary,Strategy,0.45320197044334976,-1.2063535323571133,0.9988374526172418
148,20,50,3,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
149,20,50,3,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
150,20,50,3,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
151,20,50,3,0.05,continuous,Strategy,0.45320197044334976,-0.6071453657704161,0.4676276616859524
152,20,50,3,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
153,20,50,3,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
154,20,50,3,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
155,20,50,3,0.05,trinary,Strategy,0.046798029556650245,0.36293433953359466,0.3450345084055728
156,20,50,3,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
157,20,50,3,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
158,20,50,3,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
159,20,50,3,0.1,binary,Strategy,0.45566502463054187,-0.8049836356065351,0.9944574484876794
160,20,50,3,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
161,20,50,3,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
162,20,50,3,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
163,20,50,3,0.1,continuous,Strategy,0.45566502463054187,-0.7180829587618578,0.5345547845971379
164,20,50,3,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
165,20,50,3,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
166,20,50,3,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
167,20,50,3,0.1,trinary,Strategy,0.05665024630541872,-0.3841691267933193,0.7041134961190483
168,20,50,3,0.2,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
169,20,50,3,0.2,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
170,20,50,3,0.2,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
171,20,50,3,0.2,binary,Strategy,0.46798029556650245,0.015590112662222263,0.9396162591003421
172,20,50,3,0.2,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
173,20,50,3,0.2,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
174,20,50,3,0.2,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
175,20,50,3,0.2,continuous,Strategy,0.46798029556650245,-0.0643383075383513,0.3936893278707142
176,20,50,3,0.2,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
177,20,50,3,0.2,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
178,20,50,3,0.2,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
179,20,50,3,0.2,trinary,Strategy,0.07881773399014778,-0.28688120854214133,0.5279528512224049
180,20,50,5,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
181,20,50,5,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
182,20,50,5,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
183,20,50,5,0.05,binary,Strategy,0.5246305418719212,0.3438330988302,0.9439790174126746
184,20,50,5,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
185,20,50,5,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
186,20,50,5,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
187,20,50,5,0.05,continuous,Strategy,0.5197044334975369,0.4990548363539869,0.21817407109908216
188,20,50,5,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
189,20,50,5,0.05,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
190,20,50,5,0.05,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
191,20,50,5,0.05,trinary,Strategy,0.03940886699507389,-0.39539250346633914,0.5569812491245603
192,20,50,5,0.1,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
193,20,50,5,0.1,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
194,20,50,5,0.1,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
195,20,50,5,0.1,binary,Strategy,0.5246305418719212,0.7827237813603998,0.9011195007249845
196,20,50,5,0.1,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
197,20,50,5,0.1,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
198,20,50,5,0.1,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
199,20,50,5,0.1,continuous,Strategy,0.5246305418719212,-0.3946185700322598,0.4011407453766881
200,20,50,5,0.1,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
201,20,50,5,0.1,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
202,20,50,5,0.1,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
203,20,50,5,0.1,trinary,Strategy,0.054187192118226604,-0.8918450086490242,0.7010918486735893
204,20,50,5,0.2,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
205,20,50,5,0.2,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
